personId,primary_name,name_variations
1642355,B. James,"['B. James', 'James']"
1629029,Doncić,"['Doncic', 'Doncić', 'Dončić', 'L. Dončić']"
1627827,Finney-Smith,"['D. Finney-Smith', 'Finney-Smith']"
1630692,Goodwin,"['Goodwin', 'J. Goodwin']"
1629060,Hachimura,"['Hachimura', 'R. Hachimura']"
1629637,Hayes,"['Hayes', 'J. Hayes']"
1641998,Jemison III,"['Jemison III', 'T. Jemison III']"
1642261,Knecht,"['D. Knecht', 'Knecht']"
1631132,Koloko,"['C. Koloko', 'Koloko']"
2544,L. James,"['James', 'L. James']"
203458,Len,"['A. Len', 'Len']"
1629003,Milton,"['Milton', 'S. Milton']"
202693,Morris,"['M. Morris', 'Morris']"
1630559,Reaves,"['A. Reaves', 'Reaves']"
1629020,Vanderbilt,"['J. Vanderbilt', 'Vanderbilt']"
1629216,Vincent,"['G. Vincent', 'Vincent']"
